package,severity,title,installed_versions,patched_versions,advisory,dependency_paths
axios,high,Axios: Proxy-Authorization header leaks to redirect target when proxy is re-evaluated to direct connection,1.13.2; 1.15.2,>=1.16.0,https://github.com/advisories/GHSA-j5f8-grm9-p9fc,apps/bff > @nestjs/axios@3.1.3 > axios@1.13.2; apps/bff > @nestjs/terminus@11.0.0 > @nestjs/axios@3.1.3 > axios@1.13.2; apps/bff > axios@1.13.2; apps/bff > @welpco/sms@link:../../packages/sms > twilio@5.13.1 > axios@1.15.2; apps/bff > twilio@5.13.1 > axios@1.15.2; packages/sms > twilio@5.13.1 > axios@1.15.2
axios,high,axios Vulnerable to Credential Theft and Response Hijacking via Prototype Pollution Gadget in Config Merge,1.13.2,>=1.15.2,https://github.com/advisories/GHSA-3g43-6gmg-66jw,apps/bff > @nestjs/axios@3.1.3 > axios@1.13.2; apps/bff > @nestjs/terminus@11.0.0 > @nestjs/axios@3.1.3 > axios@1.13.2; apps/bff > axios@1.13.2
axios,high,axios Vulnerable to Full Man-in-the-Middle via Prototype Pollution Gadget in `config.proxy`,1.13.2; 1.15.2,>=1.16.0,https://github.com/advisories/GHSA-35jp-ww65-95wh,apps/bff > @nestjs/axios@3.1.3 > axios@1.13.2; apps/bff > @nestjs/terminus@11.0.0 > @nestjs/axios@3.1.3 > axios@1.13.2; apps/bff > axios@1.13.2; apps/bff > @welpco/sms@link:../../packages/sms > twilio@5.13.1 > axios@1.15.2; apps/bff > twilio@5.13.1 > axios@1.15.2; packages/sms > twilio@5.13.1 > axios@1.15.2
axios,high,"axios's shouldBypassProxy does not recognize IPv4-mapped IPv6 addresses, allowing NO_PROXY bypass (incomplete fix for CVE-2025-62718)",1.15.2,>=1.16.0,https://github.com/advisories/GHSA-pjwm-pj3p-43mv,apps/bff > @welpco/sms@link:../../packages/sms > twilio@5.13.1 > axios@1.15.2; apps/bff > twilio@5.13.1 > axios@1.15.2; packages/sms > twilio@5.13.1 > axios@1.15.2
axios,high,Axios Node HTTP adapter can use an inherited proxy after interceptor config cloning,1.15.2,>=1.18.0,https://github.com/advisories/GHSA-gcfj-64vw-6mp9,apps/bff > @welpco/sms@link:../../packages/sms > twilio@5.13.1 > axios@1.15.2; apps/bff > twilio@5.13.1 > axios@1.15.2; packages/sms > twilio@5.13.1 > axios@1.15.2
brace-expansion,high,brace-expansion: DoS via exponential-time expansion of consecutive non-expanding {} groups,2.0.2,>=2.1.2,https://github.com/advisories/GHSA-3jxr-9vmj-r5cp,apps/bff > @nestjs/terminus@11.0.0 > @nestjs/typeorm@11.0.0 > typeorm@0.3.28 > glob@10.5.0 > minimatch@9.0.5 > brace-expansion@2.0.2; apps/bff > @nestjs/terminus@11.0.0 > typeorm@0.3.28 > glob@10.5.0 > minimatch@9.0.5 > brace-expansion@2.0.2; apps/bff > @nestjs/typeorm@11.0.0 > typeorm@0.3.28 > glob@10.5.0 > minimatch@9.0.5 > brace-expansion@2.0.2; apps/bff > @welpco/database@link:../../packages/database > @nestjs/typeorm@11.0.0 > typeorm@0.3.28 > glob@10.5.0 > minimatch@9.0.5 > brace-expansion@2.0.2; apps/bff > @welpco/database@link:../../packages/database > typeorm@0.3.28 > glob@10.5.0 > minimatch@9.0.5 > brace-expansion@2.0.2; apps/bff > typeorm@0.3.28 > glob@10.5.0 > minimatch@9.0.5 > brace-expansion@2.0.2; packages/database > @nestjs/typeorm@11.0.0 > typeorm@0.3.28 > glob@10.5.0 > minimatch@9.0.5 > brace-expansion@2.0.2; packages/database > typeorm@0.3.28 > glob@10.5.0 > minimatch@9.0.5 > brace-expansion@2.0.2
brace-expansion,high,brace-expansion: DoS via exponential-time expansion of consecutive non-expanding {} groups,1.1.12,>=1.1.16,https://github.com/advisories/GHSA-3jxr-9vmj-r5cp,packages/eslint-plugin-design > eslint@9.39.1 > @eslint/config-array@0.21.1 > minimatch@3.1.2 > brace-expansion@1.1.12; packages/eslint-plugin-design > eslint@9.39.1 > @eslint/eslintrc@3.3.3 > minimatch@3.1.2 > brace-expansion@1.1.12; packages/eslint-plugin-design > eslint@9.39.1 > minimatch@3.1.2 > brace-expansion@1.1.12
brace-expansion,high,brace-expansion: DoS via unbounded expansion length causing an out-of-memory process crash,1.1.12,>=1.1.17,https://github.com/advisories/GHSA-mh99-v99m-4gvg,packages/eslint-plugin-design > eslint@9.39.1 > @eslint/config-array@0.21.1 > minimatch@3.1.2 > brace-expansion@1.1.12; packages/eslint-plugin-design > eslint@9.39.1 > @eslint/eslintrc@3.3.3 > minimatch@3.1.2 > brace-expansion@1.1.12; packages/eslint-plugin-design > eslint@9.39.1 > minimatch@3.1.2 > brace-expansion@1.1.12
brace-expansion,high,brace-expansion: DoS via unbounded expansion length causing an out-of-memory process crash,2.0.2,>=2.1.3,https://github.com/advisories/GHSA-mh99-v99m-4gvg,apps/bff > @nestjs/terminus@11.0.0 > @nestjs/typeorm@11.0.0 > typeorm@0.3.28 > glob@10.5.0 > minimatch@9.0.5 > brace-expansion@2.0.2; apps/bff > @nestjs/terminus@11.0.0 > typeorm@0.3.28 > glob@10.5.0 > minimatch@9.0.5 > brace-expansion@2.0.2; apps/bff > @nestjs/typeorm@11.0.0 > typeorm@0.3.28 > glob@10.5.0 > minimatch@9.0.5 > brace-expansion@2.0.2; apps/bff > @welpco/database@link:../../packages/database > @nestjs/typeorm@11.0.0 > typeorm@0.3.28 > glob@10.5.0 > minimatch@9.0.5 > brace-expansion@2.0.2; apps/bff > @welpco/database@link:../../packages/database > typeorm@0.3.28 > glob@10.5.0 > minimatch@9.0.5 > brace-expansion@2.0.2; apps/bff > typeorm@0.3.28 > glob@10.5.0 > minimatch@9.0.5 > brace-expansion@2.0.2; packages/database > @nestjs/typeorm@11.0.0 > typeorm@0.3.28 > glob@10.5.0 > minimatch@9.0.5 > brace-expansion@2.0.2; packages/database > typeorm@0.3.28 > glob@10.5.0 > minimatch@9.0.5 > brace-expansion@2.0.2
brace-expansion,high,"brace-expansion: DoS via unbounded intermediate arrays, bypassing the CVE-2026-14257 mitigation",2.0.2,>=2.1.4,https://github.com/advisories/GHSA-rgw5-rvv9-x895,apps/bff > @nestjs/terminus@11.0.0 > @nestjs/typeorm@11.0.0 > typeorm@0.3.28 > glob@10.5.0 > minimatch@9.0.5 > brace-expansion@2.0.2; apps/bff > @nestjs/terminus@11.0.0 > typeorm@0.3.28 > glob@10.5.0 > minimatch@9.0.5 > brace-expansion@2.0.2; apps/bff > @nestjs/typeorm@11.0.0 > typeorm@0.3.28 > glob@10.5.0 > minimatch@9.0.5 > brace-expansion@2.0.2; apps/bff > @welpco/database@link:../../packages/database > @nestjs/typeorm@11.0.0 > typeorm@0.3.28 > glob@10.5.0 > minimatch@9.0.5 > brace-expansion@2.0.2; apps/bff > @welpco/database@link:../../packages/database > typeorm@0.3.28 > glob@10.5.0 > minimatch@9.0.5 > brace-expansion@2.0.2; apps/bff > typeorm@0.3.28 > glob@10.5.0 > minimatch@9.0.5 > brace-expansion@2.0.2; packages/database > @nestjs/typeorm@11.0.0 > typeorm@0.3.28 > glob@10.5.0 > minimatch@9.0.5 > brace-expansion@2.0.2; packages/database > typeorm@0.3.28 > glob@10.5.0 > minimatch@9.0.5 > brace-expansion@2.0.2
brace-expansion,high,"brace-expansion: DoS via unbounded intermediate arrays, bypassing the CVE-2026-14257 mitigation",1.1.12,>=1.1.18,https://github.com/advisories/GHSA-rgw5-rvv9-x895,packages/eslint-plugin-design > eslint@9.39.1 > @eslint/config-array@0.21.1 > minimatch@3.1.2 > brace-expansion@1.1.12; packages/eslint-plugin-design > eslint@9.39.1 > @eslint/eslintrc@3.3.3 > minimatch@3.1.2 > brace-expansion@1.1.12; packages/eslint-plugin-design > eslint@9.39.1 > minimatch@3.1.2 > brace-expansion@1.1.12
browserslist,high,"Browserslist: Unbounded memory growth (no cache eviction) via distinct query results, leading to eventual OOM",4.28.0,>=4.28.7,https://github.com/advisories/GHSA-c83g-rgw3-j3cx,apps/admin > next@16.3.0 > styled-jsx@5.1.6 > @babel/core@7.28.5 > @babel/helper-compilation-targets@7.27.2 > browserslist@4.28.0 > update-browserslist-db@1.1.4 > browserslist@4.28.0; apps/admin > next-auth@5.0.0-beta.30 > next@16.3.0 > styled-jsx@5.1.6 > @babel/core@7.28.5 > @babel/helper-compilation-targets@7.27.2 > browserslist@4.28.0 > update-browserslist-db@1.1.4 > browserslist@4.28.0; apps/web > @vercel/analytics@2.0.1 > next@16.3.0 > styled-jsx@5.1.6 > @babel/core@7.28.5 > @babel/helper-compilation-targets@7.27.2 > browserslist@4.28.0 > update-browserslist-db@1.1.4 > browserslist@4.28.0; apps/web > @vercel/speed-insights@2.0.0 > next@16.3.0 > styled-jsx@5.1.6 > @babel/core@7.28.5 > @babel/helper-compilation-targets@7.27.2 > browserslist@4.28.0 > update-browserslist-db@1.1.4 > browserslist@4.28.0; apps/web > next@16.3.0 > styled-jsx@5.1.6 > @babel/core@7.28.5 > @babel/helper-compilation-targets@7.27.2 > browserslist@4.28.0 > update-browserslist-db@1.1.4 > browserslist@4.28.0; apps/web > next-auth@5.0.0-beta.30 > next@16.3.0 > styled-jsx@5.1.6 > @babel/core@7.28.5 > @babel/helper-compilation-targets@7.27.2 > browserslist@4.28.0 > update-browserslist-db@1.1.4 > browserslist@4.28.0; apps/web > next-intl@4.13.0 > next@16.3.0 > styled-jsx@5.1.6 > @babel/core@7.28.5 > @babel/helper-compilation-targets@7.27.2 > browserslist@4.28.0 > update-browserslist-db@1.1.4 > browserslist@4.28.0
browserslist,high,Browserslist: Uncaught crash / prototype write via untrusted browserslist-stats.json custom stats (normalizeStats),4.28.0,>=4.28.7,https://github.com/advisories/GHSA-73wf-gq98-2v4g,apps/admin > next@16.3.0 > styled-jsx@5.1.6 > @babel/core@7.28.5 > @babel/helper-compilation-targets@7.27.2 > browserslist@4.28.0 > update-browserslist-db@1.1.4 > browserslist@4.28.0; apps/admin > next-auth@5.0.0-beta.30 > next@16.3.0 > styled-jsx@5.1.6 > @babel/core@7.28.5 > @babel/helper-compilation-targets@7.27.2 > browserslist@4.28.0 > update-browserslist-db@1.1.4 > browserslist@4.28.0; apps/web > @vercel/analytics@2.0.1 > next@16.3.0 > styled-jsx@5.1.6 > @babel/core@7.28.5 > @babel/helper-compilation-targets@7.27.2 > browserslist@4.28.0 > update-browserslist-db@1.1.4 > browserslist@4.28.0; apps/web > @vercel/speed-insights@2.0.0 > next@16.3.0 > styled-jsx@5.1.6 > @babel/core@7.28.5 > @babel/helper-compilation-targets@7.27.2 > browserslist@4.28.0 > update-browserslist-db@1.1.4 > browserslist@4.28.0; apps/web > next@16.3.0 > styled-jsx@5.1.6 > @babel/core@7.28.5 > @babel/helper-compilation-targets@7.27.2 > browserslist@4.28.0 > update-browserslist-db@1.1.4 > browserslist@4.28.0; apps/web > next-auth@5.0.0-beta.30 > next@16.3.0 > styled-jsx@5.1.6 > @babel/core@7.28.5 > @babel/helper-compilation-targets@7.27.2 > browserslist@4.28.0 > update-browserslist-db@1.1.4 > browserslist@4.28.0; apps/web > next-intl@4.13.0 > next@16.3.0 > styled-jsx@5.1.6 > @babel/core@7.28.5 > @babel/helper-compilation-targets@7.27.2 > browserslist@4.28.0 > update-browserslist-db@1.1.4 > browserslist@4.28.0
